Navn;Stasjon;Tid (t);Nedbør (mm);Lufttemperatur (C);Middelvind (m/s);Relativ luftfuktighet (g/m³)
Oslo - Blindern;SN18700;26.05.2024 00:00;;19.2;2.6;68
Oslo - Blindern;SN18700;26.05.2024 01:00;;19.4;3.2;70
Oslo - Blindern;SN18700;26.05.2024 02:00;;19.2;3.2;72
Oslo - Blindern;SN18700;26.05.2024 03:00;;18.6;1.9;74
Oslo - Blindern;SN18700;26.05.2024 04:00;;18.2;3.4;77
Oslo - Blindern;SN18700;26.05.2024 05:00;;19.3;2.7;72
Oslo - Blindern;SN18700;26.05.2024 06:00;;20.1;2.6;68
Oslo - Blindern;SN18700;26.05.2024 07:00;;20.7;2.3;65
Oslo - Blindern;SN18700;26.05.2024 08:00;;21.6;2.8;62
Oslo - Blindern;SN18700;26.05.2024 09:00;;23.3;3.1;54
Oslo - Blindern;SN18700;26.05.2024 10:00;;24.0;3.6;51
Oslo - Blindern;SN18700;26.05.2024 11:00;;24.7;2.9;45
Oslo - Blindern;SN18700;26.05.2024 12:00;;26.1;3.7;42
Oslo - Blindern;SN18700;26.05.2024 13:00;;25.5;5.3;40
Oslo - Blindern;SN18700;26.05.2024 14:00;;25.2;5.0;39
Oslo - Blindern;SN18700;26.05.2024 15:00;;26.1;5.2;37
Oslo - Blindern;SN18700;26.05.2024 16:00;;25.4;4.4;38
Oslo - Blindern;SN18700;26.05.2024 17:00;;25.0;5.4;35
Oslo - Blindern;SN18700;26.05.2024 18:00;;20.9;5.0;53
Oslo - Blindern;SN18700;26.05.2024 19:00;;18.5;3.5;73
Oslo - Blindern;SN18700;26.05.2024 20:00;;18.0;1.8;79
Oslo - Blindern;SN18700;26.05.2024 21:00;;17.5;2.5;83
Oslo - Blindern;SN18700;26.05.2024 22:00;;16.7;3.1;87
Oslo - Blindern;SN18700;26.05.2024 23:00;;16.3;2.8;92
Oslo - Blindern;SN18700;27.05.2024 00:00;;16.0;2.8;95
Oslo - Blindern;SN18700;27.05.2024 01:00;;15.7;1.8;96
Oslo - Blindern;SN18700;27.05.2024 02:00;;15.7;2.0;94
Oslo - Blindern;SN18700;27.05.2024 03:00;;15.6;1.0;94
Oslo - Blindern;SN18700;27.05.2024 04:00;;16.0;2.2;91
Oslo - Blindern;SN18700;27.05.2024 05:00;;16.6;2.2;87
Oslo - Blindern;SN18700;27.05.2024 06:00;;16.2;1.8;92
Oslo - Blindern;SN18700;27.05.2024 07:00;;16.6;2.2;88
Oslo - Blindern;SN18700;27.05.2024 08:00;;17.4;2.7;83
Oslo - Blindern;SN18700;27.05.2024 09:00;;17.8;3.1;79
Oslo - Blindern;SN18700;27.05.2024 10:00;;19.1;3.1;72
Oslo - Blindern;SN18700;27.05.2024 11:00;;18.6;1.1;86
Oslo - Blindern;SN18700;27.05.2024 12:00;;15.6;5.1;98
Oslo - Blindern;SN18700;27.05.2024 13:00;;18.1;0.7;85
Oslo - Blindern;SN18700;27.05.2024 14:00;;19.7;2.9;69
Oslo - Blindern;SN18700;27.05.2024 15:00;;18.2;3.7;79
Oslo - Blindern;SN18700;27.05.2024 16:00;;16.0;2.6;96
Oslo - Blindern;SN18700;27.05.2024 17:00;;15.9;2.6;90
Oslo - Blindern;SN18700;27.05.2024 18:00;;15.9;1.2;93
Oslo - Blindern;SN18700;27.05.2024 19:00;;16.0;2.1;95
Oslo - Blindern;SN18700;27.05.2024 20:00;;16.1;2.8;97
Oslo - Blindern;SN18700;27.05.2024 21:00;;15.9;2.6;96
Oslo - Blindern;SN18700;27.05.2024 22:00;;15.3;3.3;97
Oslo - Blindern;SN18700;27.05.2024 23:00;;15.1;2.3;97
Oslo - Blindern;SN18700;28.05.2024 00:00;;14.6;3.6;95
Oslo - Blindern;SN18700;28.05.2024 01:00;;14.0;1.8;94
Oslo - Blindern;SN18700;28.05.2024 02:00;;13.6;1.1;99
Oslo - Blindern;SN18700;28.05.2024 03:00;;13.7;1.4;99
Oslo - Blindern;SN18700;28.05.2024 04:00;;13.7;1.0;97
Oslo - Blindern;SN18700;28.05.2024 05:00;;13.9;1.6;91
Oslo - Blindern;SN18700;28.05.2024 06:00;;14.7;1.4;83
Oslo - Blindern;SN18700;28.05.2024 07:00;;15.3;1.8;78
Oslo - Blindern;SN18700;28.05.2024 08:00;;17.0;1.5;74
Oslo - Blindern;SN18700;28.05.2024 09:00;;17.8;1.0;64
Oslo - Blindern;SN18700;28.05.2024 10:00;;19.4;1.0;58
Oslo - Blindern;SN18700;28.05.2024 11:00;;19.9;1.5;59
Oslo - Blindern;SN18700;28.05.2024 12:00;;20.2;0.9;57
Oslo - Blindern;SN18700;28.05.2024 13:00;;21.3;3.2;50
Oslo - Blindern;SN18700;28.05.2024 14:00;;21.8;3.7;46
Oslo - Blindern;SN18700;28.05.2024 15:00;;21.5;3.2;48
Oslo - Blindern;SN18700;28.05.2024 16:00;;20.8;2.8;57
Oslo - Blindern;SN18700;28.05.2024 17:00;;20.3;3.0;62
Oslo - Blindern;SN18700;28.05.2024 18:00;;15.9;3.9;98
Oslo - Blindern;SN18700;28.05.2024 19:00;;15.1;1.8;98
Oslo - Blindern;SN18700;28.05.2024 20:00;;15.3;2.2;97
Oslo - Blindern;SN18700;28.05.2024 21:00;;15.1;1.1;95
Oslo - Blindern;SN18700;28.05.2024 22:00;;15.0;3.0;95
Oslo - Blindern;SN18700;28.05.2024 23:00;;14.7;5.0;94
Oslo - Blindern;SN18700;29.05.2024 00:00;;13.8;4.6;89
Oslo - Blindern;SN18700;29.05.2024 01:00;;13.2;3.2;91
Oslo - Blindern;SN18700;29.05.2024 02:00;;12.8;2.4;91
Oslo - Blindern;SN18700;29.05.2024 03:00;;12.4;1.7;95
Oslo - Blindern;SN18700;29.05.2024 04:00;;12.7;1.5;89
Oslo - Blindern;SN18700;29.05.2024 05:00;;13.0;3.8;83
Oslo - Blindern;SN18700;29.05.2024 06:00;;13.1;4.3;77
Oslo - Blindern;SN18700;29.05.2024 07:00;;13.2;2.9;79
Oslo - Blindern;SN18700;29.05.2024 08:00;;14.3;2.8;75
Oslo - Blindern;SN18700;29.05.2024 09:00;;16.1;2.4;67
Oslo - Blindern;SN18700;29.05.2024 10:00;;16.9;3.3;57
Oslo - Blindern;SN18700;29.05.2024 11:00;;17.5;3.8;50
Oslo - Blindern;SN18700;29.05.2024 12:00;;17.5;4.2;48
Oslo - Blindern;SN18700;29.05.2024 13:00;;17.1;5.1;44
Oslo - Blindern;SN18700;29.05.2024 14:00;;18.1;3.8;37
Oslo - Blindern;SN18700;29.05.2024 15:00;;18.7;3.5;37
Oslo - Blindern;SN18700;29.05.2024 16:00;;18.6;3.5;40
Oslo - Blindern;SN18700;29.05.2024 17:00;;18.4;2.0;45
Oslo - Blindern;SN18700;29.05.2024 18:00;;17.7;2.5;44
Oslo - Blindern;SN18700;29.05.2024 19:00;;18.0;1.0;47
Oslo - Blindern;SN18700;29.05.2024 20:00;;15.2;2.1;61
Oslo - Blindern;SN18700;29.05.2024 21:00;;14.7;3.5;61
Oslo - Blindern;SN18700;29.05.2024 22:00;;14.9;3.8;59
Oslo - Blindern;SN18700;29.05.2024 23:00;;14.8;3.2;59
Oslo - Blindern;SN18700;30.05.2024 00:00;;14.8;2.5;64
Oslo - Blindern;SN18700;30.05.2024 01:00;;15.0;3.7;62
Oslo - Blindern;SN18700;30.05.2024 02:00;;14.7;3.2;65
Oslo - Blindern;SN18700;30.05.2024 03:00;;14.7;2.8;63
Oslo - Blindern;SN18700;30.05.2024 04:00;;14.8;2.8;61
Oslo - Blindern;SN18700;30.05.2024 05:00;;14.7;3.5;62
Oslo - Blindern;SN18700;30.05.2024 06:00;;14.6;2.6;66
Oslo - Blindern;SN18700;30.05.2024 07:00;;14.2;2.4;74
Oslo - Blindern;SN18700;30.05.2024 08:00;;12.9;2.8;91
Oslo - Blindern;SN18700;30.05.2024 09:00;;13.6;3.0;90
Oslo - Blindern;SN18700;30.05.2024 10:00;;14.7;2.6;90
Oslo - Blindern;SN18700;30.05.2024 11:00;;16.4;3.3;80
Oslo - Blindern;SN18700;30.05.2024 12:00;;16.7;3.7;75
Oslo - Blindern;SN18700;30.05.2024 13:00;;16.4;3.3;76
Oslo - Blindern;SN18700;30.05.2024 14:00;;16.5;2.8;79
Oslo - Blindern;SN18700;30.05.2024 15:00;;17.1;3.5;73
Oslo - Blindern;SN18700;30.05.2024 16:00;;17.2;2.1;76
Oslo - Blindern;SN18700;30.05.2024 17:00;;18.2;2.2;69
Oslo - Blindern;SN18700;30.05.2024 18:00;;18.2;1.1;69
Oslo - Blindern;SN18700;30.05.2024 19:00;;17.6;1.2;74
Oslo - Blindern;SN18700;30.05.2024 20:00;;16.0;2.2;86
Oslo - Blindern;SN18700;30.05.2024 21:00;;15.4;2.4;90
Oslo - Blindern;SN18700;30.05.2024 22:00;;15.1;2.7;90
Oslo - Blindern;SN18700;30.05.2024 23:00;;14.7;3.0;92
Oslo - Blindern;SN18700;31.05.2024 00:00;;15.1;2.0;84
Oslo - Blindern;SN18700;31.05.2024 01:00;;15.1;1.6;82
Oslo - Blindern;SN18700;31.05.2024 02:00;;14.3;0.3;88
Oslo - Blindern;SN18700;31.05.2024 03:00;;14.3;0.9;94
Oslo - Blindern;SN18700;31.05.2024 04:00;;14.3;1.3;92
Oslo - Blindern;SN18700;31.05.2024 05:00;;16.1;0.7;83
Oslo - Blindern;SN18700;31.05.2024 06:00;;18.0;0.5;76
Oslo - Blindern;SN18700;31.05.2024 07:00;;19.8;2.5;63
Oslo - Blindern;SN18700;31.05.2024 08:00;;20.4;3.9;59
Oslo - Blindern;SN18700;31.05.2024 09:00;;21.8;2.6;56
Oslo - Blindern;SN18700;31.05.2024 10:00;;22.6;3.0;49
Oslo - Blindern;SN18700;31.05.2024 11:00;;23.2;2.5;46
Oslo - Blindern;SN18700;31.05.2024 12:00;;23.9;1.9;41
Oslo - Blindern;SN18700;31.05.2024 13:00;;24.8;1.0;45
Oslo - Blindern;SN18700;31.05.2024 14:00;;23.7;2.6;47
Oslo - Blindern;SN18700;31.05.2024 15:00;;24.6;0.5;46
Oslo - Blindern;SN18700;31.05.2024 16:00;;25.4;1.7;35
Oslo - Blindern;SN18700;31.05.2024 17:00;;25.8;1.6;39
Oslo - Blindern;SN18700;31.05.2024 18:00;;26.2;0.6;40
Oslo - Blindern;SN18700;31.05.2024 19:00;;20.0;2.6;77
Oslo - Blindern;SN18700;31.05.2024 20:00;;20.1;1.2;92
Oslo - Blindern;SN18700;31.05.2024 21:00;;19.1;2.9;74
Oslo - Blindern;SN18700;31.05.2024 22:00;;18.4;2.9;74
Oslo - Blindern;SN18700;31.05.2024 23:00;;17.8;3.3;73
Oslo - Blindern;SN18700;01.06.2024 00:00;;18.5;2.0;72
Oslo - Blindern;SN18700;01.06.2024 01:00;;17.8;2.6;75
Oslo - Blindern;SN18700;01.06.2024 02:00;;17.5;2.5;74
Oslo - Blindern;SN18700;01.06.2024 03:00;;16.4;0.8;81
Oslo - Blindern;SN18700;01.06.2024 04:00;;17.8;1.6;76
Oslo - Blindern;SN18700;01.06.2024 05:00;;18.8;2.4;70
Oslo - Blindern;SN18700;01.06.2024 06:00;;20.7;1.8;62
Oslo - Blindern;SN18700;01.06.2024 07:00;;21.7;1.0;58
Oslo - Blindern;SN18700;01.06.2024 08:00;;23.0;1.2;55
Oslo - Blindern;SN18700;01.06.2024 09:00;;23.2;2.9;52
Oslo - Blindern;SN18700;01.06.2024 10:00;;24.0;2.3;51
Oslo - Blindern;SN18700;01.06.2024 11:00;;24.7;2.1;49
Oslo - Blindern;SN18700;01.06.2024 12:00;;21.9;5.2;52
Oslo - Blindern;SN18700;01.06.2024 13:00;;20.7;2.3;75
Oslo - Blindern;SN18700;01.06.2024 14:00;;22.7;2.5;62
Oslo - Blindern;SN18700;01.06.2024 15:00;;22.5;2.4;62
Oslo - Blindern;SN18700;01.06.2024 16:00;;22.1;1.9;64
Oslo - Blindern;SN18700;01.06.2024 17:00;;22.2;1.8;64
Oslo - Blindern;SN18700;01.06.2024 18:00;;22.2;1.6;63
Oslo - Blindern;SN18700;01.06.2024 19:00;;21.3;1.2;66
Oslo - Blindern;SN18700;01.06.2024 20:00;;20.2;1.0;69
Oslo - Blindern;SN18700;01.06.2024 21:00;;19.1;1.5;83
Oslo - Blindern;SN18700;01.06.2024 22:00;;18.3;2.2;80
Oslo - Blindern;SN18700;01.06.2024 23:00;;18.3;1.4;75
Oslo - Blindern;SN18700;02.06.2024 00:00;;18.3;4.4;70
Oslo - Blindern;SN18700;02.06.2024 01:00;;18.0;4.4;70
Oslo - Blindern;SN18700;02.06.2024 02:00;;17.6;4.4;71
Oslo - Blindern;SN18700;02.06.2024 03:00;;17.4;2.4;72
Oslo - Blindern;SN18700;02.06.2024 04:00;;17.3;1.8;74
Oslo - Blindern;SN18700;02.06.2024 05:00;;17.9;4.0;71
Oslo - Blindern;SN18700;02.06.2024 06:00;;19.0;4.8;66
Oslo - Blindern;SN18700;02.06.2024 07:00;;20.1;4.6;63
Oslo - Blindern;SN18700;02.06.2024 08:00;;20.1;2.3;63
Oslo - Blindern;SN18700;02.06.2024 09:00;;21.1;3.0;57
Oslo - Blindern;SN18700;02.06.2024 10:00;;22.6;2.0;55
Oslo - Blindern;SN18700;02.06.2024 11:00;;23.7;1.5;50
Oslo - Blindern;SN18700;02.06.2024 12:00;;23.1;1.4;54
Oslo - Blindern;SN18700;02.06.2024 13:00;;23.8;2.0;50
Oslo - Blindern;SN18700;02.06.2024 14:00;;24.5;1.3;49
Oslo - Blindern;SN18700;02.06.2024 15:00;;24.4;3.2;48
Oslo - Blindern;SN18700;02.06.2024 16:00;;24.9;2.6;41
Oslo - Blindern;SN18700;02.06.2024 17:00;;25.1;2.0;44
Oslo - Blindern;SN18700;02.06.2024 18:00;;23.8;2.3;51
Oslo - Blindern;SN18700;02.06.2024 19:00;;23.0;3.0;58
Oslo - Blindern;SN18700;02.06.2024 20:00;;21.9;2.4;64
Oslo - Blindern;SN18700;02.06.2024 21:00;;21.4;1.6;68
Oslo - Blindern;SN18700;02.06.2024 22:00;;18.0;1.3;88
Oslo - Blindern;SN18700;02.06.2024 23:00;;19.1;1.8;79
Oslo - Blindern;SN18700;03.06.2024 00:00;;16.5;2.3;80
Oslo - Blindern;SN18700;03.06.2024 01:00;;15.9;1.5;74
Oslo - Blindern;SN18700;03.06.2024 02:00;;16.0;1.2;65
Oslo - Blindern;SN18700;03.06.2024 03:00;;15.6;0.3;75
Oslo - Blindern;SN18700;03.06.2024 04:00;;15.4;0.3;74
Oslo - Blindern;SN18700;03.06.2024 05:00;;16.4;0.6;65
Oslo - Blindern;SN18700;03.06.2024 06:00;;17.3;0.8;61
Oslo - Blindern;SN18700;03.06.2024 07:00;;18.0;0.6;55
Oslo - Blindern;SN18700;03.06.2024 08:00;;18.5;2.7;52
Oslo - Blindern;SN18700;03.06.2024 09:00;;18.8;2.6;51
Oslo - Blindern;SN18700;03.06.2024 10:00;;19.5;3.5;51
Oslo - Blindern;SN18700;03.06.2024 11:00;;20.6;3.5;49
Oslo - Blindern;SN18700;03.06.2024 12:00;;21.7;4.2;44
Oslo - Blindern;SN18700;03.06.2024 13:00;;21.4;3.2;47
Oslo - Blindern;SN18700;03.06.2024 14:00;;22.7;4.9;36
Oslo - Blindern;SN18700;03.06.2024 15:00;;22.4;6.8;28
Oslo - Blindern;SN18700;03.06.2024 16:00;;21.1;7.7;31
Oslo - Blindern;SN18700;03.06.2024 17:00;;19.8;6.0;35
Oslo - Blindern;SN18700;03.06.2024 18:00;;17.9;6.8;34
Oslo - Blindern;SN18700;03.06.2024 19:00;;16.9;4.6;41
Oslo - Blindern;SN18700;03.06.2024 20:00;;15.7;5.4;41
Oslo - Blindern;SN18700;03.06.2024 21:00;;14.5;3.4;47
Oslo - Blindern;SN18700;03.06.2024 22:00;;13.5;2.8;50
Oslo - Blindern;SN18700;03.06.2024 23:00;;12.8;3.3;52
Oslo - Blindern;SN18700;04.06.2024 00:00;;12.4;2.9;54
Oslo - Blindern;SN18700;04.06.2024 01:00;;10.3;0.9;63
Oslo - Blindern;SN18700;04.06.2024 02:00;;9.7;1.2;68
Oslo - Blindern;SN18700;04.06.2024 03:00;;11.0;1.2;64
Oslo - Blindern;SN18700;04.06.2024 04:00;;10.7;1.9;67
Oslo - Blindern;SN18700;04.06.2024 05:00;;11.9;1.8;58
Oslo - Blindern;SN18700;04.06.2024 06:00;;12.4;3.0;56
Oslo - Blindern;SN18700;04.06.2024 07:00;;13.5;4.1;54
Oslo - Blindern;SN18700;04.06.2024 08:00;;14.7;3.8;46
Oslo - Blindern;SN18700;04.06.2024 09:00;;15.5;3.8;45
Oslo - Blindern;SN18700;04.06.2024 10:00;;16.1;4.6;51
Oslo - Blindern;SN18700;04.06.2024 11:00;;16.3;6.1;51
Oslo - Blindern;SN18700;04.06.2024 12:00;;16.6;6.8;56
Oslo - Blindern;SN18700;04.06.2024 13:00;;16.5;6.8;64
Oslo - Blindern;SN18700;04.06.2024 14:00;;16.0;6.7;65
Oslo - Blindern;SN18700;04.06.2024 15:00;;17.2;8.6;55
Oslo - Blindern;SN18700;04.06.2024 16:00;;16.3;6.4;62
Oslo - Blindern;SN18700;04.06.2024 17:00;;16.3;5.2;66
Oslo - Blindern;SN18700;04.06.2024 18:00;;15.7;5.3;69
Oslo - Blindern;SN18700;04.06.2024 19:00;;15.3;4.7;72
Oslo - Blindern;SN18700;04.06.2024 20:00;;15.2;5.6;71
Oslo - Blindern;SN18700;04.06.2024 21:00;;14.5;6.0;80
Oslo - Blindern;SN18700;04.06.2024 22:00;;13.6;4.3;84
Oslo - Blindern;SN18700;04.06.2024 23:00;;13.6;4.3;85
Oslo - Blindern;SN18700;05.06.2024 00:00;;13.3;4.7;92
Oslo - Blindern;SN18700;05.06.2024 01:00;;13.6;3.8;90
Oslo - Blindern;SN18700;05.06.2024 02:00;;13.7;3.9;93
Oslo - Blindern;SN18700;05.06.2024 03:00;;12.6;4.8;98
Oslo - Blindern;SN18700;05.06.2024 04:00;;12.4;4.1;98
Oslo - Blindern;SN18700;05.06.2024 05:00;;12.3;2.9;99
Oslo - Blindern;SN18700;05.06.2024 06:00;;12.3;3.1;99
Oslo - Blindern;SN18700;05.06.2024 07:00;;12.3;2.8;99
Oslo - Blindern;SN18700;05.06.2024 08:00;;12.5;2.6;99
Oslo - Blindern;SN18700;05.06.2024 09:00;;12.6;4.6;96
Oslo - Blindern;SN18700;05.06.2024 10:00;;12.6;5.7;88
Oslo - Blindern;SN18700;05.06.2024 11:00;;12.7;6.8;79
Oslo - Blindern;SN18700;05.06.2024 12:00;;10.0;7.6;89
Oslo - Blindern;SN18700;05.06.2024 13:00;;11.8;6.4;72
Oslo - Blindern;SN18700;05.06.2024 14:00;;13.1;3.6;67
Oslo - Blindern;SN18700;05.06.2024 15:00;;11.5;3.7;82
Oslo - Blindern;SN18700;05.06.2024 16:00;;14.4;1.9;63
Oslo - Blindern;SN18700;05.06.2024 17:00;;15.5;5.5;49
Oslo - Blindern;SN18700;05.06.2024 18:00;;14.3;6.3;55
Oslo - Blindern;SN18700;05.06.2024 19:00;;12.3;3.9;63
Oslo - Blindern;SN18700;05.06.2024 20:00;;11.2;1.6;67
Oslo - Blindern;SN18700;05.06.2024 21:00;;10.9;2.1;73
Oslo - Blindern;SN18700;05.06.2024 22:00;;9.6;1.3;79
Oslo - Blindern;SN18700;05.06.2024 23:00;;10.6;3.8;73
Oslo - Blindern;SN18700;06.06.2024 00:00;;10.0;3.8;75
Oslo - Blindern;SN18700;06.06.2024 01:00;;8.8;1.1;84
Oslo - Blindern;SN18700;06.06.2024 02:00;;7.5;0.5;93
Oslo - Blindern;SN18700;06.06.2024 03:00;;7.8;1.2;90
Oslo - Blindern;SN18700;06.06.2024 04:00;;7.9;1.1;93
Oslo - Blindern;SN18700;06.06.2024 05:00;;9.2;1.9;75
Oslo - Blindern;SN18700;06.06.2024 06:00;;10.1;2.8;67
Oslo - Blindern;SN18700;06.06.2024 07:00;;11.2;2.9;59
Oslo - Blindern;SN18700;06.06.2024 08:00;;12.3;4.0;50
Oslo - Blindern;SN18700;06.06.2024 09:00;;13.0;3.3;47
Oslo - Blindern;SN18700;06.06.2024 10:00;;14.2;4.4;45
Oslo - Blindern;SN18700;06.06.2024 11:00;;14.6;5.3;48
Oslo - Blindern;SN18700;06.06.2024 12:00;;15.2;4.2;47
Oslo - Blindern;SN18700;06.06.2024 13:00;;13.5;7.4;59
Oslo - Blindern;SN18700;06.06.2024 14:00;;14.6;6.5;50
Oslo - Blindern;SN18700;06.06.2024 15:00;;13.5;6.9;51
Oslo - Blindern;SN18700;06.06.2024 16:00;;12.9;5.8;58
Oslo - Blindern;SN18700;06.06.2024 17:00;;12.9;4.7;62
Oslo - Blindern;SN18700;06.06.2024 18:00;;10.3;2.9;72
Oslo - Blindern;SN18700;06.06.2024 19:00;;9.7;0.7;82
Oslo - Blindern;SN18700;06.06.2024 20:00;;9.0;0.9;86
Oslo - Blindern;SN18700;06.06.2024 21:00;;7.8;1.7;91
Oslo - Blindern;SN18700;06.06.2024 22:00;;7.3;1.6;94
Oslo - Blindern;SN18700;06.06.2024 23:00;;6.5;2.6;95
Oslo - Blindern;SN18700;07.06.2024 00:00;;6.2;1.8;96
Oslo - Blindern;SN18700;07.06.2024 01:00;;6.1;1.6;97
Oslo - Blindern;SN18700;07.06.2024 02:00;;5.3;1.2;98
Oslo - Blindern;SN18700;07.06.2024 03:00;;5.7;1.4;98
Oslo - Blindern;SN18700;07.06.2024 04:00;;7.3;1.2;94
Oslo - Blindern;SN18700;07.06.2024 05:00;;9.4;0.7;83
Oslo - Blindern;SN18700;07.06.2024 06:00;;10.1;1.4;73
Oslo - Blindern;SN18700;07.06.2024 07:00;;11.1;2.7;59
Oslo - Blindern;SN18700;07.06.2024 08:00;;12.4;2.6;51
Oslo - Blindern;SN18700;07.06.2024 09:00;;13.2;3.7;44
Oslo - Blindern;SN18700;07.06.2024 10:00;;14.2;3.5;49
Oslo - Blindern;SN18700;07.06.2024 11:00;;14.9;4.6;43
Oslo - Blindern;SN18700;07.06.2024 12:00;;14.6;5.6;47
Oslo - Blindern;SN18700;07.06.2024 13:00;;14.9;6.1;45
Oslo - Blindern;SN18700;07.06.2024 14:00;;13.6;4.4;57
Oslo - Blindern;SN18700;07.06.2024 15:00;;10.9;4.6;82
Oslo - Blindern;SN18700;07.06.2024 16:00;;10.6;4.1;87
Oslo - Blindern;SN18700;07.06.2024 17:00;;10.3;3.7;87
Oslo - Blindern;SN18700;07.06.2024 18:00;;10.3;3.9;78
Oslo - Blindern;SN18700;07.06.2024 19:00;;9.6;2.3;91
Oslo - Blindern;SN18700;07.06.2024 20:00;;9.2;2.8;96
Oslo - Blindern;SN18700;07.06.2024 21:00;;9.3;2.4;94
Oslo - Blindern;SN18700;07.06.2024 22:00;;9.1;2.2;95
Oslo - Blindern;SN18700;07.06.2024 23:00;;9.1;1.3;96
Oslo - Blindern;SN18700;08.06.2024 00:00;;8.9;2.2;94
Oslo - Blindern;SN18700;08.06.2024 01:00;;8.7;1.6;95
Oslo - Blindern;SN18700;08.06.2024 02:00;;8.4;1.7;94
Oslo - Blindern;SN18700;08.06.2024 03:00;;7.8;1.5;94
Oslo - Blindern;SN18700;08.06.2024 04:00;;8.4;1.4;91
Oslo - Blindern;SN18700;08.06.2024 05:00;;9.0;1.3;89
Oslo - Blindern;SN18700;08.06.2024 06:00;;9.7;1.9;85
Oslo - Blindern;SN18700;08.06.2024 07:00;;9.3;2.2;91
Oslo - Blindern;SN18700;08.06.2024 08:00;;8.9;2.9;94
Oslo - Blindern;SN18700;08.06.2024 09:00;;10.5;3.1;85
Oslo - Blindern;SN18700;08.06.2024 10:00;;11.4;3.0;79
Oslo - Blindern;SN18700;08.06.2024 11:00;;10.8;2.4;86
Oslo - Blindern;SN18700;08.06.2024 12:00;;11.9;4.0;71
Oslo - Blindern;SN18700;08.06.2024 13:00;;12.0;6.1;70
Oslo - Blindern;SN18700;08.06.2024 14:00;;10.2;5.7;86
Oslo - Blindern;SN18700;08.06.2024 15:00;;9.6;3.1;91
Oslo - Blindern;SN18700;08.06.2024 16:00;;9.1;1.9;92
Oslo - Blindern;SN18700;08.06.2024 17:00;;9.3;2.3;92
Oslo - Blindern;SN18700;08.06.2024 18:00;;9.2;1.3;95
Oslo - Blindern;SN18700;08.06.2024 19:00;;9.3;1.7;95
Oslo - Blindern;SN18700;08.06.2024 20:00;;9.3;2.1;95
Oslo - Blindern;SN18700;08.06.2024 21:00;;8.9;2.0;97
Oslo - Blindern;SN18700;08.06.2024 22:00;;8.2;1.0;97
Oslo - Blindern;SN18700;08.06.2024 23:00;;8.2;1.5;98
Oslo - Blindern;SN18700;09.06.2024 00:00;;7.7;1.9;98
Oslo - Blindern;SN18700;09.06.2024 01:00;;7.1;1.4;99
Oslo - Blindern;SN18700;09.06.2024 02:00;;6.4;1.2;99
Oslo - Blindern;SN18700;09.06.2024 03:00;;6.3;0.5;100
Oslo - Blindern;SN18700;09.06.2024 04:00;;6.3;1.0;99
Oslo - Blindern;SN18700;09.06.2024 05:00;;7.6;1.5;94
Oslo - Blindern;SN18700;09.06.2024 06:00;;8.6;2.7;79
Oslo - Blindern;SN18700;09.06.2024 07:00;;9.2;3.0;75
Oslo - Blindern;SN18700;09.06.2024 08:00;;10.0;1.6;64
Oslo - Blindern;SN18700;09.06.2024 09:00;;12.0;3.0;60
Oslo - Blindern;SN18700;09.06.2024 10:00;;12.5;3.3;54
Oslo - Blindern;SN18700;09.06.2024 11:00;;13.1;5.0;53
Oslo - Blindern;SN18700;09.06.2024 12:00;;12.5;5.6;55
Oslo - Blindern;SN18700;09.06.2024 13:00;;10.9;1.6;72
Oslo - Blindern;SN18700;09.06.2024 14:00;;10.6;1.9;84
Oslo - Blindern;SN18700;09.06.2024 15:00;;12.1;4.8;66
Oslo - Blindern;SN18700;09.06.2024 16:00;;12.1;5.2;60
Oslo - Blindern;SN18700;09.06.2024 17:00;;11.8;4.5;66
Oslo - Blindern;SN18700;09.06.2024 18:00;;11.2;5.7;66
Oslo - Blindern;SN18700;09.06.2024 19:00;;10.5;3.5;73
Oslo - Blindern;SN18700;09.06.2024 20:00;;9.8;2.6;78
Oslo - Blindern;SN18700;09.06.2024 21:00;;9.1;1.2;85
Oslo - Blindern;SN18700;09.06.2024 22:00;;7.6;2.3;88
Oslo - Blindern;SN18700;09.06.2024 23:00;;6.8;0.6;94
Oslo - Blindern;SN18700;10.06.2024 00:00;;6.5;0.6;96
Oslo - Blindern;SN18700;10.06.2024 01:00;;5.8;1.3;96
Oslo - Blindern;SN18700;10.06.2024 02:00;;5.2;1.1;97
Oslo - Blindern;SN18700;10.06.2024 03:00;;5.6;1.2;98
Oslo - Blindern;SN18700;10.06.2024 04:00;;6.3;0.5;98
Oslo - Blindern;SN18700;10.06.2024 05:00;;7.5;1.0;96
Oslo - Blindern;SN18700;10.06.2024 06:00;;9.1;1.8;89
Oslo - Blindern;SN18700;10.06.2024 07:00;;11.5;2.0;75
Oslo - Blindern;SN18700;10.06.2024 08:00;;12.5;4.6;66
Oslo - Blindern;SN18700;10.06.2024 09:00;;13.4;5.6;62
Oslo - Blindern;SN18700;10.06.2024 10:00;;13.6;6.7;57
Oslo - Blindern;SN18700;10.06.2024 11:00;;13.6;5.2;55
Oslo - Blindern;SN18700;10.06.2024 12:00;;13.9;5.2;53
Oslo - Blindern;SN18700;10.06.2024 13:00;;15.1;4.7;48
Oslo - Blindern;SN18700;10.06.2024 14:00;;16.6;2.0;44
Oslo - Blindern;SN18700;10.06.2024 15:00;;16.9;4.2;39
